ham,Can ü all decide faster cos my sis going home liao..
spam,"	You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
ham,WHO ARE YOU SEEING?
ham,Thats cool princess!
ham,A bloo bloo bloo I'll miss the first bowl
ham,"Solve d Case : A Man Was Found Murdered On 19 october, AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play.whoz the murderer?"
ham,Correct. So how was work today
ham,Wot u up 2? Thout u were gonna call me!! Txt bak luv K
spam,FreeMsg Hi baby wow just got a new cam moby. Wanna C  pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv
ham,Mm have some kanji dont eat anything heavy ok
ham,twenty past five he said will this train have been to durham already or not coz i am in a reserved seat
ham,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter.."
ham,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
ham,"Yes, my reg is  Ciao!"
ham,How is it possible to teach you. And where.
ham,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ..."
ham,I'm also came to room.
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
ham,Thanks. Fills me with complete calm and reassurance!
spam,WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm
ham,I see a cup of coffee animation
ham,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
ham,I cannot come on Sunday as I HAVE A DATE ON SUNDAY WITH RIMCA!!
ham,"Sorry pa, i dont knw who ru pa?"
spam,"	Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16"
ham,Are you planning to come chennai?
spam,Bloomberg -Message center +447797706009 Why wait?  http://careers. bloomberg.com
ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
ham,O. Well uv causes mutations. Sunscreen is like essential thesedays
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. "
ham,make that 3! 4  sake?! x
ham,Nobody can decide where to eat and dad wants Chinese
ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
ham,"Sorry, I'll call later..busy somewhere.."
ham,"Sir Goodmorning, Once free call me."
spam,"(Alert) Your Rbc Royal Bank has been suspended. To unlock your account, click here: http://reac.mobi/@mobile"
spam,"complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"
ham,Ok leave no need to ask
ham,Ok lor.
ham,If you r @ home then come down within 5 min
ham,Dunno dat's wat he told me. Ok lor...
ham,Lol no ouch but wish i'd stayed out a bit longer
ham,Did you stitch his trouser
ham,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?"
ham,"Good! No, don‘t need any receipts—well done! (…) Yes, please tell . What‘s her number, i could ring her"
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... God bless U"
spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
ham,Ok... Sweet dreams...
ham,So that means you still think of teju
ham,"I av a new number,  . Wil u only use this one,ta."
ham,Yup no more already... Thanx 4 printing n handing it up.
ham,Wat would u like 4 ur birthday?
